"question","answer"
"R Tutorial Episode 17 - How to join/merge two dataframes in R (using base R and dplyr)","<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/oLcyHHqj_DI"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>"
"R Tutorial Episode 16 - rle function in R","<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/NaUZdPc42hs"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>"
"R Tutorial Episode 15 - Sum a variable by group in R","<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/7f3wEeNgI-8"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>"
"How to learn programming language through Stack Overflow.","<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/mzaumwRed2s"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>"
"R quirks Episode 4 - Why pipe returns unexpected results?","<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/vHrCjoUgCC0"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>"
"R Tutorial Episode 14 - across function in new dplyr 1.0.0","<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/YCH8kvq8K6M"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>"
"R Tutorial Episode 13 - Non-standard evaluation using dplyr","<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/ylVErGE5c5A"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>"
"R Tutorial episode 12 - Difference between summarise and mutate in dplyr.","<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/TInu_MH4UIY"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>"
"R tutorial episode 11 - What does tilde (&quot;~&quot;) and &quot;.&quot; mean in dplyr functions.","<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/ynaHKNdAAwk"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>"
"R quirks - Episode 3 - max(1:5, ns.rm = TRUE) works. Is ns.rm valid argument in max?","<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/dkunZCq4vL8"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>"
